size,trial,algorithm,runtime_seconds,num_matches,total_score,average_pickup_distance,solution_quality_vs_hungarian,stability_violations,ga_population_size,ga_generations,ga_mutation_rate,ga_best_fitness
50,1,hungarian,0.004035999998450279,50,49445.57360900442,11.088527819911562,1.0,,,,,
50,1,greedy,0.0004755000118166208,45,44630.04368438937,8.221251458014045,0.9026094840623285,,,,,
50,1,gale_shapley,0.0016756999830249697,45,44630.04368438937,8.221251458014045,0.9026094840623285,0,,,,
50,1,genetic,0.29431289999047294,38,37290.418460697976,18.673198402684907,0.7541710155003056,,60.0,100.0,0.08,-80209.581539302
50,2,hungarian,0.0040891999960877,50,49403.57353075271,11.928529384945815,1.0,,,,,
50,2,greedy,0.0004835000145249069,43,42621.91835477774,8.792596400517578,0.8627294608202072,,,,,
50,2,gale_shapley,0.001677599997492507,43,42621.91835477774,8.792596400517578,0.8627294608202072,0,,,,
50,2,genetic,0.2942975000187289,38,37192.23040548248,21.257094592566357,0.7528246996612721,,60.0,100.0,0.08,-80307.76959451751
50,3,hungarian,0.004392799979541451,49,48275.2293216139,14.79123833441018,1.0,,,,,
50,3,greedy,0.0005088000034447759,42,41654.44150532732,8.227583206492408,0.8628533119505596,,,,,
50,3,gale_shapley,0.0016521000070497394,42,41654.44150532732,8.227583206492408,0.8628533119505596,0,,,,
50,3,genetic,0.29318820001208223,36,35392.15253170245,16.884651897154267,0.7331327686900617,,60.0,100.0,0.08,-102107.84746829755
100,1,hungarian,0.021188099985010922,100,99091.64110332899,9.083588966710051,1.0,,,,,
100,1,greedy,0.0019345000036992133,93,92329.30420107262,7.211782784165335,0.9317567372286744,,,,,
100,1,gale_shapley,0.006338600011076778,93,92329.30420107262,7.211782784165335,0.9317567372286744,0,,,,
100,1,genetic,0.540098700003,61,59808.46748322876,19.533319947069547,0.6035672314767979,,60.0,100.0,0.08,-325191.5325167713
100,2,hungarian,0.013973499997518957,100,99199.02128249158,8.009787175084266,1.0,,,,,
100,2,greedy,0.002131300017936155,97,96176.642517167,8.48822147250523,0.9695321715249823,,,,,
100,2,gale_shapley,0.006292700010817498,97,96176.642517167,8.48822147250523,0.9695321715249823,0,,,,
100,2,genetic,0.6055728000064846,56,54798.95548738165,21.447223439613317,0.5524142756542857,,60.0,100.0,0.08,-380201.04451261833
100,3,hungarian,0.051689600019017234,100,98922.02193624854,10.779780637514582,1.0,,,,,
100,3,greedy,0.01183810000657104,90,89258.45429547233,8.239396716974134,0.9023112604086883,,,,,
100,3,gale_shapley,0.014962499990360811,90,89258.45429547233,8.239396716974134,0.9023112604086883,0,,,,
100,3,genetic,0.587408499995945,59,57852.0087467503,19.457478868638912,0.5848243658427617,,60.0,100.0,0.08,-347147.9912532497
150,1,hungarian,0.060063500015530735,150,148665.6219838925,8.895853440716696,1.0,,,,,
150,1,greedy,0.004884699999820441,137,136076.82839420266,6.738478874433023,0.9153214211752749,,,,,
150,1,gale_shapley,0.02278719999594614,137,136076.82839420266,6.738478874433023,0.9153214211752749,0,,,,
150,1,genetic,0.7991727000044193,72,70718.08208387115,17.804415501789602,0.47568550913225427,,60.0,100.0,0.08,-701781.9179161286
150,2,hungarian,0.053222799993818626,150,148867.29357125863,7.551376191609026,1.0,,,,,
150,2,greedy,0.004317799990531057,140,139185.5099697057,5.81778593067366,0.9349636621363138,,,,,
150,2,gale_shapley,0.01366490000509657,140,139185.5099697057,5.81778593067366,0.9349636621363138,0,,,,
150,2,genetic,0.7787840999953914,79,77543.94175075239,18.431117079083627,0.5208930712079767,,60.0,100.0,0.08,-624956.0582492481
150,3,hungarian,0.0656091999844648,150,148783.10744059808,8.112617062679416,1.0,,,,,
150,3,greedy,0.014725799992447719,139,138159.01077267088,6.050282211000777,0.9285933944337809,,,,,
150,3,gale_shapley,0.013602299994090572,139,138159.01077267088,6.050282211000777,0.9285933944337809,0,,,,
150,3,genetic,0.7845313000143506,74,72703.21328396414,17.524144811295322,0.4886523378535499,,60.0,100.0,0.08,-679796.7867160357
